cluster_id,role,keyword,intent,volume_band,target_url,notes
S13,primary,mercedes service hawthorn,Transactional,medium,/services/logbook-service/hawthorn,
S13,secondary,mercedes mechanic hawthorn,Transactional,medium,/services/logbook-service/hawthorn,
S13,secondary,c class service hawthorn,Transactional,low,/services/logbook-service/hawthorn,
S13,secondary,e class service hawthorn,Transactional,low,/services/logbook-service/hawthorn,
S13,secondary,glc service hawthorn,Transactional,low,/services/logbook-service/hawthorn,
#
S14,primary,mercedes service camberwell,Transactional,medium,/services/logbook-service/camberwell,
S14,secondary,mercedes mechanic camberwell,Transactional,medium,/services/logbook-service/camberwell,
S14,secondary,glc service camberwell,Transactional,low,/services/logbook-service/camberwell,
S14,secondary,gle service camberwell,Transactional,low,/services/logbook-service/camberwell,
S14,secondary,mercedes specialist camberwell,Transactional,low,/services/logbook-service/camberwell,
#
S15,primary,mercedes service glen waverley,Transactional,medium,/services/logbook-service/glen-waverley,closer to workshop = easier to rank
S15,secondary,mercedes mechanic glen waverley,Transactional,medium,/services/logbook-service/glen-waverley,
S15,secondary,c class service glen waverley,Transactional,low,/services/logbook-service/glen-waverley,
S15,secondary,glc service glen waverley,Transactional,low,/services/logbook-service/glen-waverley,
S15,secondary,european car service glen waverley,Transactional,low,/services/logbook-service/glen-waverley,
#
# === TIER 4 — Model-specific transactional (no suburb — broader Melbourne) ===
#
S16,primary,c63 service melbourne,Transactional,medium,/services/logbook-service,AMG enthusiast — high CPC
S16,secondary,c63 amg service melbourne,Transactional,medium,/services/logbook-service,
S16,secondary,c63 maintenance cost,Transactional,medium,/services/logbook-service,research stage
S16,secondary,c63 specialist melbourne,Transactional,low,/services/logbook-service,
S16,secondary,c63 brake service melbourne,Transactional,low,/services/brake-repair,
#
S17,primary,e63 service melbourne,Transactional,low,/services/logbook-service,
S17,secondary,e63 amg service melbourne,Transactional,low,/services/logbook-service,
S17,secondary,e63 specialist melbourne,Transactional,low,/services/logbook-service,
S17,secondary,e63 brake repair melbourne,Transactional,low,/services/brake-repair,
S17,secondary,e63 transmission service,Transactional,low,/services/transmission-repair,
#
S18,primary,glc service melbourne,Transactional,medium,/services/logbook-service,popular SUV — high family volume
S18,secondary,glc 200 service melbourne,Transactional,low,/services/logbook-service,
S18,secondary,glc 300 service cost,Transactional,medium,/services/logbook-service,
S18,secondary,glc maintenance schedule,Transactional,low,/services/logbook-service,
S18,secondary,glc brake replacement melbourne,Transactional,low,/services/brake-repair,
#
S19,primary,c-class service melbourne,Transactional,medium,/services/logbook-service,
S19,secondary,c200 service melbourne,Transactional,medium,/services/logbook-service,
S19,secondary,c300 service melbourne,Transactional,medium,/services/logbook-service,
S19,secondary,c-class repair melbourne,Transactional,low,/services/logbook-service,
S19,secondary,c-class brake service melbourne,Transactional,low,/services/brake-repair,
#
S20,primary,sprinter van service melbourne,Transactional,medium,/services/logbook-service,commercial fleet — high LTV
S20,secondary,mercedes vito service melbourne,Transactional,low,/services/logbook-service,
S20,secondary,sprinter mechanic melbourne,Transactional,medium,/services/logbook-service,
S20,secondary,mercedes commercial vehicle service,Transactional,low,/services/logbook-service,
S20,secondary,sprinter brake service melbourne,Transactional,low,/services/brake-repair,
