cluster_id,role,keyword,intent,volume_band,target_url,notes
15,secondary,is mercedes service worth dealer cost,Informational,low,/blog/dealer-vs-independent-mercedes,
15,secondary,mercedes warranty after dealer servicing,Informational,low,/blog/dealer-vs-independent-mercedes,
#
# Cluster 16 — check engine light
16,primary,mercedes check engine light,Informational,high,/blog/mercedes-check-engine-light,high search but very broad
16,secondary,mercedes engine warning light yellow,Informational,medium,/blog/mercedes-check-engine-light,
16,secondary,mercedes service engine soon,Informational,medium,/blog/mercedes-check-engine-light,
16,secondary,mercedes fault code reader,Informational,medium,/blog/mercedes-check-engine-light,
16,secondary,can I drive with mercedes check engine light on,Informational,medium,/blog/mercedes-check-engine-light,
#
# Cluster 17 — coolant leak / overheating
17,primary,mercedes overheating causes,Informational,medium,/blog/mercedes-overheating-guide,
17,secondary,mercedes coolant leak,Informational,medium,/blog/mercedes-overheating-guide,
17,secondary,mercedes thermostat replacement,Informational,low,/blog/mercedes-overheating-guide,
17,secondary,mercedes water pump replacement cost,Informational,low,/blog/mercedes-overheating-guide,
17,secondary,mercedes radiator leak,Informational,low,/blog/mercedes-overheating-guide,
#
# Cluster 18 — diesel buying considerations
18,primary,should I buy used mercedes diesel,Informational,medium,/blog/used-mercedes-diesel-buying-guide,emerging concern after 2020 emissions
18,secondary,mercedes om651 reliability,Informational,low,/blog/used-mercedes-diesel-buying-guide,
18,secondary,mercedes diesel particulate filter life,Informational,low,/blog/used-mercedes-diesel-buying-guide,
18,secondary,mercedes diesel vs petrol cost,Informational,medium,/blog/used-mercedes-diesel-buying-guide,
18,secondary,best used mercedes diesel australia,Informational,low,/blog/used-mercedes-diesel-buying-guide,
#
# Cluster 19 — EQ electric maintenance
19,primary,mercedes eq service requirements,Informational,low,/blog/mercedes-eq-electric-service-guide,small but growing — first-mover advantage
19,secondary,electric mercedes maintenance cost,Informational,low,/blog/mercedes-eq-electric-service-guide,
19,secondary,eqs battery health check,Informational,low,/blog/mercedes-eq-electric-service-guide,
19,secondary,mercedes eqa service intervals,Informational,low,/blog/mercedes-eq-electric-service-guide,
19,secondary,do electric mercedes need oil changes,Informational,medium,/blog/mercedes-eq-electric-service-guide,
